"stock_code","corp_code","company_name","induty_code"
"013720","00151605","THE CUBE&","303"
"013780","00267951","아큐텍","2629"
"013810","00136165","스페코","29229"
"013870","00156354","지엠비코리아","303"
"013890","00150633","지누스","320"
"013990","00138446","아가방컴퍼니","46414"
"014010","00111591","인터피온반도체","2612"
"014100","00267854","메디앙스","468"
"014130","00129509","한익스프레스","49301"
"014160","00111458","대영포장","1721"
"014190","00128175","원익큐브","46739"
"014200","00103635","광림","301"
"014280","00105299","금강공업","2413"
"014300","00132114","선진지주","1090"
"014350","00136970","신일건업","4111"
"014420","00128953","프로비타","26"
"014440","00140779","영보화학","2225"
"014470","00243067","부방","681"
"014530","00105156","극동유화","19221"
"014570","00103015","고려제약","212"
"014580","00122481","태경비케이","23312"
"014590","00106456","지앤엘","91249"
"014620","00132318","성광벤드","24133"
"014680","00140955","한솔케미칼","20129"
"014710","00124780","사조씨푸드","102"
"014790","00161116","HL D&I","41221"
"014820","00132637","동원시스템즈","222"
"014830","00159786","유니드","20129"
"014900","00125929","에스컴","68112"
"014910","00132628","성문전자","26291"
"014940","00141608","오리엔탈정공","291"
"014950","00127875","삼익제약","21212"
"014970","00125488","삼륭물산","17223"
"014990","00106881","인디에프","14112"
"015020","00134565","이스타코","68121"
"015050","00140919","엘트온","26211"
"015110","00149664","중앙건설","41112"
"015170","00149877","중앙바이오텍","21230"
"015200","00133089","성원","2413"
"015230","00112679","대창단조","303"
"015260","00143314","에이엔피","2622"
"015350","00123967","부산도시가스","35200"
"015360","00105101","INVENI","715"
"015390","00191108","엘앤씨피","20491"
"015540","00108065","에코바이브","759"
"015590","00108746","DKME","29176"
"015670","00150183","AP우주통신","26"
"015710","00187725","코콤","26410"
"015750","00132992","성우하이텍","303"
"015760","00159193","한국전력공사","35120"
"015860","00146649","일진홀딩스","64992"
"015890","00153339","태경산업","20129"
"015940","00114303","엘지데이콤","61210"
"016040","00165565","디에스피이엔티","30"
"016090","00113614","대현","14112"
"016100","00180263","리더스코스메틱","172"
"016140","00131328","두함지개발","68112"
"016160","00109648","오라바이오틱스","26"
"016170","00130949","카카오엠","182"
"016250","00141246","SGC E&C","4112"
"016360","00104856","삼성증권","66121"
"016380","00115676","KG스틸","24122"
"016420","00116860","NH농협증권","66121"
"016450","00161976","한세예스24홀딩스","1419"
"016510","00173333","현대DSF","47111"
"016560","00130815","서울상호저축은행","64131"
"016570","00154392","에스트라","10897"
"016580","00166573","환인제약","212"
"016590","00135777","신대양제지","172"
"016600","00267942","큐캐피탈","649"
"016610","00115694","DB증권","66121"
"016670","00125725","디모아","467"
"016710","00108940","대성홀딩스","715"
"016740","00119672","두올","303"
"016790","00164618","현대사료","109"
"016800","00161709","퍼시스","32029"
"016830","00161444","한국씨티은행","64121"
"016880","00143651","웅진","715"
"016890","00111829","대웅바이오","21100"
"016920","00152260","카스","465"
"016970","00140353","씨크롭","25119"
"016990","00105767","LG마이크론","2629"
"017000","00136925","신원종합개발","41112"
